neighbourhood_cleansed,property_type,room_type,bed_type,price,cancellation_policy,host_response_rate_binned,predicted_quality
14,0,1,0,46.0,1,1,1
25,0,0,0,195.0,0,0,0
26,0,0,0,85.0,1,1,0
23,0,0,0,570.0,0,0,1
29,0,0,0,94.0,0,1,0
15,0,0,0,159.0,0,0,1
17,0,0,0,69.0,0,0,0
25,0,0,0,130.0,0,0,0
29,0,0,0,90.0,2,1,1
15,0,1,0,89.0,0,1,0
27,0,1,0,30.0,1,0,1
25,0,0,0,180.0,0,1,0
25,0,0,0,110.0,0,1,0
26,0,1,0,28.0,0,0,1
23,0,0,0,150.0,0,3,0
23,0,1,0,85.0,0,0,1
26,1,1,0,70.0,1,0,1
14,1,1,0,45.0,0,0,1
27,0,1,0,83.0,0,0,1
15,0,1,0,36.0,0,3,0
28,0,1,0,41.0,0,1,0
28,0,0,0,115.0,0,0,0
21,0,0,0,100.0,0,0,0
14,9,1,0,47.0,1,0,1
15,0,0,0,70.0,0,3,0
26,0,0,0,99.0,0,0,0
23,0,0,0,127.0,0,0,0
22,1,1,0,24.0,0,1,0
29,0,0,0,70.0,2,0,1
26,0,1,0,75.0,1,2,0
27,0,0,0,75.0,0,0,0
17,0,0,0,51.0,0,0,0
25,0,0,0,110.0,0,1,0
25,0,1,0,50.0,0,0,1
8,3,1,0,40.0,1,0,1
9,0,0,0,109.0,0,0,1
15,0,1,0,45.0,1,0,1
26,0,0,0,159.0,0,1,0
14,0,1,0,70.0,0,0,1
25,0,1,0,97.0,0,0,1
15,0,1,0,58.0,2,0,1
27,0,0,0,129.0,0,0,0
26,0,0,0,120.0,0,1,0
26,1,0,0,200.0,0,0,1
25,0,0,0,104.0,0,3,0
31,0,1,0,25.0,0,0,1
26,0,0,0,180.0,2,0,1
16,0,0,0,100.0,1,0,1
0,0,0,0,71.0,2,1,1
28,0,0,0,140.0,0,0,0
14,0,1,0,19.0,0,0,1
4,0,0,0,159.0,0,0,1
21,1,1,0,48.0,2,0,1
27,0,0,0,88.0,0,1,0
27,0,0,0,110.0,0,0,0
29,0,0,0,139.0,1,1,0
23,0,0,0,100.0,0,0,0
15,0,0,0,85.0,0,0,0
21,3,1,0,50.0,0,0,1
28,0,0,1,78.0,1,0,0
28,0,0,0,189.0,1,0,1
28,0,0,0,70.0,1,0,1
25,0,0,3,105.0,0,1,0
29,0,0,0,140.0,1,0,1
8,1,0,0,195.0,0,0,1
26,0,0,0,155.0,0,0,0
25,0,0,0,95.0,0,0,0
23,5,0,0,100.0,0,0,1
28,0,1,0,40.0,1,3,0
16,4,0,0,65.0,1,0,1
19,1,0,0,155.0,0,3,0
25,0,0,0,125.0,0,0,0
30,0,0,0,195.0,0,0,1
27,1,0,0,60.0,0,0,0
23,0,0,0,87.0,0,0,0
15,0,1,0,84.0,1,0,1
23,0,0,0,125.0,2,0,1
25,0,0,0,105.0,0,0,0
23,0,0,0,149.0,0,0,0
27,0,0,0,146.0,0,0,0
17,0,0,0,100.0,1,1,0
22,0,0,0,100.0,0,0,0
27,0,0,0,110.0,0,0,0
4,1,0,0,475.0,0,3,1
25,1,0,0,190.0,0,0,0
25,0,0,0,120.0,0,3,0
25,1,0,0,95.0,1,0,1
30,0,0,0,120.0,0,0,0
23,0,0,0,175.0,0,0,0
27,0,1,0,49.0,0,1,0
25,0,0,0,125.0,0,0,0
25,0,1,0,55.0,0,1,0
26,0,0,0,119.0,1,0,1
26,1,1,0,57.0,0,0,1
14,0,1,0,85.0,1,1,1
27,0,0,0,32.0,0,0,0
28,0,0,2,79.0,1,0,0
25,0,0,0,125.0,0,0,0
29,1,0,0,120.0,0,0,0
25,0,0,0,150.0,0,1,0
28,0,0,0,195.0,0,3,0
23,0,1,0,80.0,0,0,1
16,0,0,0,88.0,1,0,1
15,0,1,0,30.0,1,3,0
8,0,0,0,69.0,1,0,1
11,0,1,1,13.0,2,0,1
22,0,0,0,200.0,0,0,0
15,0,0,0,125.0,1,0,1
29,0,0,0,95.0,0,3,0
29,0,0,0,60.0,0,0,0
25,0,0,0,221.0,0,1,0
23,0,0,0,71.0,0,1,0
25,1,1,0,75.0,1,0,1
19,1,1,0,44.0,0,0,1
15,0,0,0,185.0,0,0,1
23,0,0,0,330.0,0,1,1
23,0,1,0,31.0,1,3,0
30,0,0,0,89.0,0,0,0
10,0,0,0,69.0,0,0,1
15,0,0,0,105.0,0,3,0
27,0,0,0,55.0,0,1,0
16,0,0,0,95.0,1,0,1
27,0,1,0,25.0,0,0,1
15,0,1,0,85.0,0,0,1
25,0,0,0,75.0,0,0,0
22,0,0,0,105.0,0,1,0
9,0,0,0,105.0,0,0,1
25,0,0,0,250.0,0,1,0
23,0,0,0,75.0,0,0,0
23,0,0,0,132.0,0,0,0
29,0,0,0,75.0,1,0,1
15,0,0,0,173.0,0,1,0
29,0,0,0,65.0,0,0,0
15,0,0,0,80.0,1,0,1
26,0,0,0,106.0,0,1,0
15,0,0,0,90.0,0,0,0
16,1,1,0,39.0,1,0,1
15,0,0,0,230.0,0,0,1
23,0,0,0,120.0,1,0,1
25,1,1,0,43.0,0,0,1
26,0,1,0,130.0,0,0,1
31,0,1,0,46.0,0,3,0
28,1,0,0,245.0,0,0,1
28,0,0,0,108.0,1,0,1
26,0,0,0,86.0,0,0,0
28,0,1,0,48.0,0,0,1
14,0,0,0,80.0,0,0,0
20,1,1,0,30.0,1,2,0
26,0,0,0,220.0,0,0,1
22,0,0,0,77.0,0,0,0
21,0,1,0,35.0,1,0,1
28,1,1,1,45.0,0,0,0
15,0,1,0,51.0,0,1,0
28,1,1,0,47.0,1,0,1
25,0,0,0,100.0,0,1,0
23,0,1,0,175.0,1,0,1
20,1,1,0,29.0,1,0,1
25,0,0,0,130.0,2,1,1
15,1,0,0,115.0,0,0,1
26,0,0,0,130.0,1,0,1
28,0,0,0,100.0,1,1,0
26,0,0,0,95.0,0,0,0
22,1,0,0,25.0,0,0,0
25,0,0,0,165.0,0,1,0
15,0,1,0,50.0,2,0,1
26,0,0,0,180.0,0,1,0
29,0,1,1,60.0,0,0,0
29,0,0,0,150.0,0,1,0
25,0,1,0,70.0,2,3,0
25,0,1,0,82.0,1,3,0
27,0,1,0,50.0,0,0,1
8,0,1,0,25.0,1,0,1
27,0,0,0,85.0,0,1,0
15,0,0,0,170.0,0,1,0
25,0,1,0,90.0,0,0,1
23,0,1,0,70.0,0,1,0
29,0,0,0,89.0,1,1,0
14,0,0,0,72.0,1,1,0
21,0,0,0,48.0,0,0,0
22,0,0,0,80.0,1,0,1
15,0,0,0,400.0,0,1,1
26,0,0,0,102.0,1,0,1
27,0,0,0,180.0,0,1,0
25,0,0,0,220.0,0,0,1
15,0,1,0,80.0,0,0,1
8,1,1,0,28.0,0,0,1
26,0,0,0,140.0,0,0,0
28,0,0,0,109.0,0,0,0
13,1,2,2,18.0,0,0,0
1,1,1,0,25.0,1,0,1
29,0,1,0,69.0,1,1,1
14,1,1,0,40.0,0,2,0
27,0,1,0,49.0,0,1,0
26,0,0,0,80.0,0,0,0
29,0,0,0,60.0,1,0,1
9,1,0,0,300.0,1,3,0
25,0,1,0,36.0,1,0,1
23,0,0,0,75.0,0,0,0
28,0,0,0,98.0,0,0,0
23,0,0,0,150.0,0,0,0
27,0,1,0,30.0,0,1,0
29,0,0,0,130.0,0,0,0
28,9,0,0,100.0,0,0,1
23,0,1,0,35.0,0,0,1
26,0,0,0,179.0,0,0,0
23,0,0,0,99.0,1,0,1
25,0,0,0,145.0,0,0,0
27,0,0,0,105.0,2,1,1
17,0,1,0,32.0,1,0,1
29,0,0,0,195.0,0,0,0
29,0,1,0,38.0,0,0,1
26,1,0,0,149.0,0,1,0
27,0,0,0,99.0,1,0,1
27,1,1,0,49.0,0,0,1
17,0,0,0,90.0,1,0,1
28,0,1,0,50.0,1,0,1
16,0,0,0,61.0,0,0,0
26,0,0,0,99.0,0,0,0
20,0,0,0,140.0,0,0,0
28,0,0,0,163.0,0,1,0
23,0,0,0,220.0,1,1,1
27,0,1,0,14.0,0,1,0
17,0,0,0,120.0,1,0,1
28,0,0,0,115.0,1,0,1
29,0,0,0,100.0,0,0,0
25,0,0,0,160.0,0,0,0
27,0,1,0,89.0,1,0,1
26,0,1,0,44.0,1,0,1
25,0,0,0,140.0,0,1,0
25,0,1,0,41.0,0,0,1
23,1,0,0,200.0,0,0,1
28,1,0,0,189.0,0,3,0
23,0,0,0,175.0,0,1,0
25,0,0,0,175.0,0,1,0
14,4,0,0,40.0,1,0,1
16,0,0,0,85.0,0,1,0
23,0,0,0,85.0,0,0,0
14,0,0,1,69.0,0,0,0
14,0,0,0,80.0,2,0,1
25,0,0,0,125.0,0,0,0
31,1,1,0,25.0,0,0,1
25,0,1,0,60.0,0,0,1
